county,township,parcel_count,total_area_ha,centroid_lat,centroid_lng
高雄市,橋頭區,4528,1294.13,22.753587704671652,120.29729399863938
高雄市,湖內區,4511,1288.28,22.892224509708495,120.22510673472598
高雄市,甲仙區,2764,1166.6,23.092451233583017,120.5985234857736
高雄市,林園區,5383,949.07,22.511077549233594,120.39726272488278
高雄市,大社區,3702,915.16,22.74154959066495,120.36805168557152
高雄市,彌陀區,2960,812.85,22.779833011595706,120.23704071319959
高雄市,梓官區,5261,589.4,22.75024538725113,120.26012003725066
高雄市,仁武區,1529,557.78,22.70243041101425,120.35984743042576
高雄市,茄萣區,1124,530.5,22.884438363258568,120.20198582899691
高雄市,鳥松區,2560,508.63,22.659755251500382,120.38112613758457
高雄市,楠梓區,1225,333.52,22.726928031456726,120.28532163542141
高雄市,小港區,1689,272.89,22.567104537809122,120.36925501830115
高雄市,茂林區,333,179.54,22.90218075114812,120.68390937058359
高雄市,鳳山區,820,144.65,22.618003740471885,120.3595911123506
高雄市,三民區,188,30.61,22.67045807720658,120.32993763857026
高雄市,左營區,184,10.59,22.682822821988093,120.30430967787856
高雄市,前鎮區,100,8.19,22.588063002905475,120.32759270997244
高雄市,鼓山區,79,7.46,22.654964182211362,120.28970471603552
高雄市,苓雅區,26,1.47,22.62016268535448,120.32573761224985
高雄市,旗津區,32,1.3,22.594035444611883,120.28273551832513
高雄市,前金區,1,0.03,22.627778290748875,120.2948827428793
高雄市,鹽埕區,1,0.01,22.628202955328323,120.28645441229379
新北市,三峽區,6940,2042.6,24.8958650243832,121.40966866290894
新北市,淡水區,10803,1568.34,25.20235422747735,121.46622831188671
新北市,三芝區,9665,1326.14,25.241369340622498,121.50603192285239
新北市,新店區,3390,822.2,24.935393647986597,121.53764623206794
新北市,坪林區,4501,811.34,24.939316304464537,121.71394000924819
新北市,石門區,2988,765.01,25.26976628423695,121.5634250070979
新北市,金山區,3575,700.33,25.227428202559143,121.61473133490075
新北市,雙溪區,3318,609.59,25.01632220739559,121.84186721907682
新北市,林口區,2579,603.87,25.102926447929352,121.35296500316834
新北市,萬里區,2619,569.45,25.180188588568075,121.64352003554642
新北市,八里區,2185,558.59,25.13510296765844,121.40900695781856
新北市,貢寮區,4220,513.34,25.020726513823636,121.91162278297851
新北市,五股區,1376,488.73,25.10364751438465,121.4271066435461
